S, Altitude, pid
0, 9, -45
0, 19, 7
0, 29, 8
0, 38, 9
0, 47, 10
0, 56, 10
0, 64, 10
0, 71, 10
0, 78, 9
0, 84, 9
1, 89, 8
1, 93, 7
1, 96, 5
1, 98, 4
1, 99, 2
1, 99, 0
1, 99, -1
1, 97, -3
1, 94, -6
2, 90, -8
2, 86, -11
2, 80, -13
2, 74, -16
2, 67, -18
2, 59, -21
2, 51, -23
2, 42, -26
2, 33, -28
2, 23, -30
3, 14, -32
3, 4, -34
3, -5, -35
3, -15, -37
3, -25, -38
3, -35, -39
3, -44, -39
3, -52, -40
3, -61, -40
3, -68, -40
4, -75, -40
4, -81, -39
4, -87, -38
4, -91, -37
4, -95, -36
4, -97, -34
4, -99, -33
4, -99, -31
4, -99, -29
4, -98, -26
4, -95, -24
5, -92, -22
5, -88, -19
5, -83, -17
5, -77, -14
5, -70, -12
5, -63, -9
5, -55, -7
5, -46, -4
5, -37, -2
5, -27, 0
6, -18, 1
6, -8, 3
6, 1, 5
6, 11, 6
6, 21, 7
6, 31, 8
6, 40, 9
6, 49, 10
6, 57, 10
6, 65, 10
7, 72, 10
7, 79, 9
7, 85, 9
7, 89, 8
7, 93, 6
7, 96, 5
7, 98, 3
7, 99, 2
7, 99, 0
7, 98, -2
8, 96, -4
8, 94, -6
8, 90, -9
8, 85, -11
8, 79, -14
8, 73, -16
8, 66, -19
8, 58, -21
8, 50, -24
8, 41, -26
9, 31, -28
9, 22, -30
9, 12, -32
9, 2, -34
9, -7, -36
9, -17, -37
9, -27, -38
9, -36, -39
9, -45, -40
9, -54, -40
